,Total,July,August,September,October,November,December
Cost Of Sales,,,,,,,
Venue Operations,,,,,,,
Arena - Rental,"€ 809,80","€ 103,67","€ 103,67","€ 150,62","€ 150,62","€ 150,62","€ 150,60"
Campus - Rental,"€ 39.727,32","€ 6.621,22","€ 6.621,22","€ 6.621,22","€ 6.621,22","€ 6.621,22","€ 6.621,22"
Certification/Licensure Costs,"€ 2.700,60","€ 385,10","€ 385,10","€ 385,10","€ 385,10","€ 580,10","€ 580,10"
Security,"€ 1.241,50","€ 200,00","€ 200,00","€ 200,00","€ 200,00","€ 200,00","€ 241,50"
Arena Events Additional Costs,"€ 100,00","€ 0,00","€ 100,00","€ 0,00","€ 0,00","€ 0,00","€ 0,00"
Insurance,"€ 3.074,46","€ 512,41","€ 512,41","€ 512,41","€ 512,41","€ 512,41","€ 512,41"
Utilities,"€ 2.222,68","€ 0,00","€ 0,00","€ 0,00","€ 0,00","€ 0,00","€ 2.222,68"
Total Venue Operations,"€ 49.876,36","€ 7.822,40","€ 7.922,40","€ 7.869,35","€ 7.869,35","€ 8.064,35","€ 10.328,51"
GameDay,,,,,,,
Tix Cost,"€ 20.675,93","€ 514,24","€ 0,00","€ 1.229,00","€ 6.504,15","€ 7.606,71","€ 4.821,83"
Tix Sales Ops,"€ 4.196,60","€ 0,00","€ 0,00","€ 968,83","€ 1.080,05","€ 1.082,91","€ 1.064,81"
GD Merchandising,"€ 17.392,04","€ 0,00","€ 0,00","€ 0,00","€ 5.797,35","€ 8.696,02","€ 2.898,67"
Advertising Taxes,"€ 12.704,79","€ 0,00","€ 0,00","€ 0,00","€ 4.025,28","€ 6.037,92","€ 2.641,59"
GD Mkt - Materials and Advertising,"€ 12.376,46","€ 0,00","€ 0,00","€ 0,00","€ 4.125,49","€ 6.188,23","€ 2.062,74"
Hospitality,"€ 49.820,82","€ 0,00","€ 0,00","€ 731,15","€ 14.444,63","€ 25.886,97","€ 8.758,07"
Security and Safety,"€ 12.887,00","€ 0,00","€ 0,00","€ 1.775,00","€ 3.704,00","€ 5.556,00","€ 1.852,00"
GD Staff,"€ 30.726,09","€ 0,00","€ 0,00","€ 593,08","€ 6.932,32","€ 15.966,64","€ 7.234,05"
Cleaning,"€ 7.055,00","€ 0,00","€ 0,00","€ 725,00","€ 2.220,00","€ 2.880,00","€ 1.230,00"
Entertainment,"€ 5.295,13","€ 0,00","€ 0,00","€ 0,00","€ 1.696,82","€ 2.473,31","€ 1.125,00"
Penalties and Sanctions - Fans,"€ 4.266,00","€ 0,00","€ 0,00","€ 0,00","€ 0,00","€ 3.600,00","€ 666,00"
GD Utilities,"€ 28.619,14","€ 0,00","€ 0,00","€ 3.911,48","€ 5.429,48","€ 11.869,25","€ 7.408,93"
Total GameDay,"€ 177.395,86","€ 514,24","€ 0,00","€ 6.022,06","€ 50.530,09","€ 85.974,71","€ 34.354,76"
Merchandising,,,,,,,
Stock,"€ 67.592,97","€ 268,17","€ 58.880,47","€ 2.304,91","€ 798,46","€ 1.099,46","€ 4.241,49"
"Team Store, e-Commerc Ops","€ 5.155,23","€ 202,41","€ 301,53","€ 968,77","€ 868,68","€ 1.032,92","€ 1.780,92"
Customization,"€ 4.070,09","€ 63,93","€ 0,00","€ 334,19","€ 1.244,95","€ 1.133,59","€ 1.293,43"
Sales Ops,"€ 5.030,71","€ 0,00","€ 754,55","€ 801,17","€ 912,37","€ 915,24","€ 1.647,38"
Total Merchandising,"€ 81.849,00","€ 534,51","€ 59.936,55","€ 4.409,04","€ 3.824,46","€ 4.181,21","€ 8.963,22"
Sponsorship,,,,,,,
Events,"€ 20.470,75","€ 0,00","€ 0,00","€ 8.647,43","€ 0,00","€ 0,00","€ 11.823,32"
Materials and Advertising,"€ 10.383,36","€ 0,00","€ 0,00","€ 1.111,11","€ 1.828,61","€ 3.354,32","€ 4.089,32"
Total Sponsorship,"€ 30.854,11","€ 0,00","€ 0,00","€ 9.758,54","€ 1.828,61","€ 3.354,32","€ 15.912,64"
SG&A,,,,,,,
Team Operations,,,,,,,
Travel - Flight,"€ 28.813,66","€ 0,00","€ 0,00","€ 7.075,60","€ 9.041,11","€ 0,00","€ 12.696,95"
Travel - Buses,"€ 12.369,73","€ 0,00","€ 0,00","€ 918,82","€ 2.690,91","€ 3.800,00","€ 4.960,00"
Travel - Vans,"€ 10.660,40","€ 132,37","€ 240,11","€ 9.824,20","€ 137,82","€ 217,60","€ 108,30"
Travel - Accomodation,"€ 35.445,51","€ 0,00","€ 107,00","€ 6.869,80","€ 7.272,37","€ 8.293,78","€ 12.902,56"
Team Gear,"€ 30.295,52","€ 0,00","€ 6.527,93","€ 3.041,02","€ 6.887,73","€ 6.919,42","€ 6.919,42"
Medical Expenses,"€ 13.273,26","€ 251,22","€ 6.858,55","€ 172,67","€ 2.263,68","€ 1.698,05","€ 2.029,09"
Immigration Processing Costs,"€ 2.699,88","€ 48,86","€ 34,49","€ 1.765,81","€ 148,79","€ 228,37","€ 473,56"
Logistical,"€ 6.330,13","€ 45,09","€ 313,89","€ 2.562,31","€ 943,35","€ 1.222,90","€ 1.242,59"
Payroll Deductions,"-€ 548,92","€ 0,00","€ 0,00","-€ 416,44","-€ 168,56","€ 42,27","-€ 6,19"
Team Registration,"€ 48.514,64","€ 0,00","€ 0,00","€ 122,14","€ 14.890,00","€ 18.612,50","€ 14.890,00"
Penalties and Sanctions,"€ 1.837,41","€ 195,98","€ 195,53","€ 386,66","€ 711,41","€ 364,34","-€ 16,51"
Total Team Operations,"€ 189.691,22","€ 673,52","€ 14.277,50","€ 32.322,59","€ 44.818,61","€ 41.399,23","€ 56.199,77"
Marketing,,,,,,,
Materials,"€ 7.916,65","€ 0,00","€ 0,00","€ 0,00","€ 0,00","€ 3.958,35","€ 3.958,30"
Advertising and Publications,"€ 19.080,46","€ 2.452,09","€ 3.295,62","€ 2.295,62","€ 2.295,62","€ 4.298,86","€ 4.442,65"
Free Giveaway,"€ 1.949,25","€ 0,00","€ 0,00","€ 0,00","€ 649,75","€ 649,75","€ 649,75"
Production,"€ 2.500,00","€ 0,00","€ 500,00","€ 500,00","€ 500,00","€ 500,00","€ 500,00"
CSR Events,"€ 1.600,00","€ 0,00","€ 0,00","€ 400,00","€ 400,00","€ 400,00","€ 400,00"
Marketing Events,"€ 2.334,86","€ 0,00","€ 0,00","€ 0,00","€ 0,00","€ 0,00","€ 2.334,86"
Marketing - Sales Ops,"€ 5.345,07","€ 691,66","€ 691,66","€ 738,29","€ 849,49","€ 852,36","€ 1.521,61"
Total Marketing,"€ 40.726,29","€ 3.143,75","€ 4.487,28","€ 3.933,91","€ 4.694,86","€ 10.659,32","€ 13.807,17"
Office,,,,,,,
Software Licenses & Subscriptions,"€ 20.353,21","€ 3.632,38","€ 3.542,95","€ 3.460,61","€ 3.533,80","€ 3.094,39","€ 3.089,08"
Office Supplies,"€ 656,63","€ 0,00","€ 0,00","€ 156,09","€ 137,96","€ 157,42","€ 205,16"
Hardware,"€ 4.032,92","€ 551,48","€ 555,94","€ 576,42","€ 773,45","€ 716,08","€ 859,55"
Phones,"€ 2.534,20","€ 420,70","€ 420,70","€ 420,70","€ 420,70","€ 430,70","€ 420,70"
Internet,"€ 2.050,56","€ 341,76","€ 341,76","€ 341,76","€ 341,76","€ 341,76","€ 341,76"
Education/Trainings,"€ 3.214,29","€ 0,00","€ 0,00","€ 0,00","€ 1.071,43","€ 1.071,43","€ 1.071,43"
Staff Appreciation,"€ 3.804,51","€ 319,88","€ 270,80","€ 502,18","€ 564,96","€ 1.134,57","€ 1.012,12"
Total Office,"€ 36.646,32","€ 5.266,20","€ 5.132,15","€ 5.457,76","€ 6.844,06","€ 6.946,35","€ 6.999,80"
Utilities and Maintenance,,,,,,,
Utilities,"€ 33.275,17","€ 4.151,01","€ 6.176,04","€ 3.256,54","€ 4.076,17","€ 7.508,68","€ 8.106,73"
Wi-Fi,"€ 10.352,10","€ 1.708,85","€ 1.708,85","€ 1.758,35","€ 1.708,85","€ 1.758,35","€ 1.708,85"
Cleaning,"€ 13.140,00","€ 2.190,00","€ 2.190,00","€ 2.190,00","€ 2.190,00","€ 2.190,00","€ 2.190,00"
