	22/23	% of BOps	23/24	% of BOps	24/25	% of BOps	25/26	% of BOps
Players								
Salaries	€ 840.345	29,69%	€ 958.586	33,71%	€ 1.206.569	32,33%	€ 1.463.535	36,68%
Taxes	€ 668.649	23,63%	€688.176	24,20%	€ 943.136	25,27%	€ 1.062.374	26,63%
Agents	€ 84.871	3,00%	€ 113.364	3,99%	€ 190.323	5,10%	€ 160.754	4,03%
Player Related Cost	€ 283.750	10,03%	€ 347.051	12,21%	€ 494.882	13,26%	€ 424.178	10,63%
Total Players	€ 1.877.615	66,34%	€ 2.107.177	74,11%	€ 2.834.910	75,97%	€ 3.110.841	77,97%
Coaches								
Salaries	€ 178.000	6,29%	€ 156.802	5,51%	€ 212.277	5,69%	€ 176.700	4,43%
Taxes	€ 223.000	7,88%	€ 118.049	4,15%	€ 160.142	4,29%	€ 169.078	4,24%
Agents	€ 14.800	0,52%	€ 11.033	0,39%	€ 21.565	0,58%	€ 14.200	0,36%
Coaches Related Cost	€ 54.000	1,91%	€ 66.182	2,33%	€ 59.352	1,59%	€ 49.383	1,24%
Total Coaches	€ 469.800	16,60%	€ 352.066	12,38%	€ 453.335	12,15%	€ 409.361	10,26%
Managment								
Salaries	€ 101.000	3,57%	€ 56.000	1,97%	€ 110.408	2,96%	€ 75.000	1,88%
Taxes	€ 110.191	3,89%	€ 26.060	0,92%	€ 75.226	2,02%	€ 57.858	1,45%
Agents		0,00%		0,00%	€ 0	0,00%	€ 0	0,00%
Managment Related Cost	€ 27.500	0,97%	€ 26.000	0,91%	€ 32.014	0,86%	€ 40.785	1,02%
Total Managment	€ 238.691	8,43%	€ 108.060	3,80%	€ 217.648	5,83%	€ 173.643	4,35%
Staff								
Salaries	€ 80.792	2,85%	€ 82.133	2,89%	€ 78.169	2,09%	€ 87.000	2,18%
Taxes	€ 54.365	1,92%	€ 8.021	0,28%	€ 9.251	0,25%	€ 32.890	0,82%
Agents		0,00%		0,00%	€ 3.000	0,08%	€ 3.300	0,08%
Staff Related Cost	€ 17.500	0,62%	€ 12.660	0,45%	€ 16.488	0,44%	€ 15.666	0,39%
Total Staff	€ 152.657	5,39%	€ 102.814	3,62%	€ 106.908	2,86%	€ 138.856	3,48%
AnR								
Personnel	€ 62.357	2,20%	€ 94.225	3,31%	€ 54.504	1,46%	€ 59.500	1,49%
Soft and Services	€ 29.000	1,02%	€ 79.025	2,78%	€ 24.416	0,65%	€ 57.525	1,44%
Total AnR	€ 91.357	3,23%	€ 173.250	6,09%	€ 78.920	2,11%	€ 117.025	2,93%
Luxury Tax								
Luxury Tax	€ 0	0,00%	€ 0	0,00%	€ 40.000	1,07%	€ 40.000	1,00%
Total Bops	€ 2.830.120		€ 2.843.367		€ 3.731.721		€ 3.989.726	
Net Salary to BOps Ratio	0,30		0,34		0,32		0,37	
