Liga,Time,Data,Season,Opp_Rank,PV_Rank,Tier,Contro,Game_ID,Total_GA,Tot_pay_Num,Total_num,Tot_Eur,Par_O_Tot_Num,Par_O_Tot_Eur,Par_O_Tot_Eur_per_Num,Par_O_Abb_Num,Par_O_Abb_Eur,Par_O_Abb_Eur_per_Num,Par_O_Corp_Num,Par_O_Corp_Eur,Par_O_Corp_Eur_per_Num,Par_O_VB_Num,Par_O_VB_Eur,Par_O_VB_Eur_per_Num,Par_O_MP_Num,Par_O_MP_Eur,Par_O_MP_Eur_per_Num,Par_O_Tix_Num,Par_O_Tix_Eur,Par_O_Tix_Eur_per_Num,Par_O_Prot,Par_O_Free_Num,Par_EX_Tot_Num,Par_EX_Tot_Eur,Par_EX_Tot_Eur_per_Num,Par_EX_Abb_Num,Par_EX_Abb_Eur,Par_EX_Abb_Eur_per_Num,Par_EX_Corp_Num,Par_EX_Corp_Eur,Par_EX_Corp_Eur_per_Num,Par_EX_VB_Num,Par_EX_VB_Eur,Par_EX_VB_Eur_per_Num,Par_EX_MP_Num,Par_EX_MP_Eur,Par_EX_MP_Eur_per_Num,Par_EX_Tix_Num,Par_EX_Tix_Eur,Par_EX_Tix_Eur_per_Num,Par_EX_Prot,Par_EX_Free_Num,Par_E_Tot_Num,Par_E_Tot_Eur,Par_E_Tot_Eur_per_Num,Par_E_Abb_Num,Par_E_Abb_Eur,Par_E_Abb_Eur_per_Num,Par_E_Corp_Num,Par_E_Corp_Eur,Par_E_Corp_Eur_per_Num,Par_E_VB_Num,Par_E_VB_Eur,Par_E_VB_Eur_per_Num,Par_E_MP_Num,Par_E_MP_Eur,Par_E_MP_Eur_per_Num,Par_E_Tix_Num,Par_E_Tix_Eur,Par_E_Tix_Eur_per_Num,Par_E_Prot,Par_E_Free_Num,Trib_G_Tot_Num,Trib_G_Tot_Eur,Trib_G_Tot_Eur_per_Num,Trib_G_Abb_Num,Trib_G_Abb_Eur,Trib_G_Abb_Eur_per_Num,Trib_G_Corp_Num,Trib_G_Corp_Eur,Trib_G_Corp_Eur_per_Num,Trib_G_VB_Num,Trib_G_VB_Eur,Trib_G_VB_Eur_per_Num,Trib_G_MP_Num,Trib_G_MP_Eur,Trib_G_MP_Eur_per_Num,Trib_G_Tix_Num,Trib_G_Tix_Eur,Trib_G_Tix_Eur_per_Num,Trib_G_Prot,Trib_G_Free_Num,Trib_S_Tot_Num,Trib_S_Tot_Eur,Trib_S_Tot_Eur_per_Num,Trib_S_Abb_Num,Trib_S_Abb_Eur,Trib_S_Abb_Eur_per_Num,Trib_S_Corp_Num,Trib_S_Corp_Eur,Trib_S_Corp_Eur_per_Num,Trib_S_VB_Num,Trib_S_VB_Eur,Trib_S_VB_Eur_per_Num,Trib_S_MP_Num,Trib_S_MP_Eur,Trib_S_MP_Eur_per_Num,Trib_S_Tix_Num,Trib_S_Tix_Eur,Trib_S_Eur_per_Num,Trib_S_Prot,Trib_S_Free_Num,Gall_G_Tot_Num,Gall_G_Tot_Eur,Gall_G_Tot_Eur_per_Num,Gall_G_Abb_Num,Gall_G_Abb_Eur,Gall_G_Abb_Eur_per_Num,Gall_G_Corp_Num,Gall_G_Corp_Eur,Gall_G_Corp_Eur_per_Num,Gall_G_VB_Num,Gall_G_VB_Eur,Gall_G_VB_Eur_per_Num,Gall_G_MP_Num,Gall_G_MP_Eur,Gall_G_MP_Eur_per_Num,Gall_G_Tix_Num,Gall_G_Tix_Eur,Gall_G_Tix_Eur_per_Num,Gall_G_Prot,Gall_G_Free_Num,Gall_S_Tot_Num,Gall_S_Tot_Eur,Gall_S_Tot_Eur_per_Num,Gall_S_Abb_Num,Gall_S_Abb_Eur,Gall_S_Abb_Eur_per_Num,Gall_S_Corp_Num,Gall_S_Corp_Eur,Gall_S_Corp_Eur_per_Num,Gall_S_VB_Num,Gall_S_VB_Eur,Gall_S_VB_Eur_per_Num,Gall_S_MP_Num,Gall_S_MP_Eur,Gall_S_MP_Eur_per_Num,Gall_S_Tix_Num,Gall_S_Tix_Eur,Gall_S_Tix_Eur_per_Num,Gall_S_Prot,Gall_S_Free_Num,Curva_Tot_Num,Curva_Tot_Eur,Curva_Tot_Eur_per_Num,Curva_Abb_Num,Curva_Abb_Eur,Curva_Abb_Eur_per_Num,Curva_Corp_Num,Curva_Corp_Eur,Curva_Corp_Eur_per_Num,Curva_VB_Num,Curva_VB_Eur,Curva_VB_Eur_per_Num,Curva_MP_Num,Curva_MP_Eur,Curva_MP_Eur_per_Num,Curva_Tix_Num,Curva_Tix_Eur,Curva_Tix_Eur_per_Num,Curva_Prot,Curva_Free_Num,Courtside_Tot_Num,Courtside_Tot_Eur,Courtside_Tot_Eur_per_Num,Courtside_Abb_Num,Courtside_Abb_Eur,Courtside_Abb_Eur_per_Num,Courtside_Corp_Num,Courtside_Corp_Eur,Courtside_Corp_Eur_per_Num,Courtside_VB_Num,Courtside_VB_Eur,Courtside_VB_Eur_per_Num,Courtside_MP_Num,Courtside_MP_Eur,Courtside_MP_Eur_per_Num,Courtside_Tix_Num,Courtside_Tix_Eur,Courtside_Tix_Eur_per_Num,Courtside_Prot,Courtside_Free_Num,SkyBoxes_Tot_Num,SkyBoxes_Tot_Eur,SkyBoxes_Tot_Eur_per_Num,SkyBoxes_Abb_Num,SkyBoxes_Abb_Eur,SkyBoxes_Abb_Eur_per_Num,SkyBoxes_Corp_Num,SkyBoxes_Corp_Eur,SkyBoxes_Corp_Eur_per_Num,SkyBoxes_VB_Num,SkyBoxes_VB_Eur,SkyBoxes_VB_Eur_per_Num,SkyBoxes_MP_Num,SkyBoxes_MP_Eur,SkyBoxes_MP_Eur_per_Num,SkyBoxes_Tix_Num,SkyBoxes_Tix_Eur,SkyBoxes_Tix_Eur_per_Num,SkyBoxes_Prot,SkyBoxes_Free_Num,Ospiti_Tix_Num,Ospiti_Tix_Eur,Ospiti_Tix_Eur_per_Num,Ospiti_Free_Num,Press,Abb_num,Abb_Eur,Abb_Eur_per_Num,Corp_Num,Corp_Eur,Corp_Eur_per_Num,VB_Num,VB_Eur,VB_Eur_per_Num,MP_num,MP_Eur,MP_Eur_per_Num,Tix_Num,Tix_Eur,Tix_Eur_per_Num,Full_Price,Sponsor,Disabili,LBA,Promotion,Special,Staff,Team,Under_18,Under_30,VNC,InstitutionalGA,VIPGA,TeamGA,SponsorGA,DisabileGA,StaffGA,AutoritiesGA,AgentGA,PromotionGA,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12
FEC,0.85416666666666663,2024-03-27,23-24,1,1,2,Bahcesehir,45378.8541Bahcesehir,1382,2293,3675,31379.909999999996,50,2639.24,52.7848,0,0.0,,0,0.0,,0,0,0,0,0.0,0.0,50,2639.24,52.78,50,111,,,,,,,,,,,,,,,,,,,,,15,729.5,€ 48.63,0,0.0,#DIV/0!,0,,,0,0,0,0,0.0,0.0,15,729.5,€ 48.63,0,65,1186,15977.36,13.47,0,0.0,0.0,0,,,57,264.55,4.64,2,48.36,24.18,1127,15664.45,13.9,0,493,453,4958.25,10.95,0,0.0,0.0,0,,,0,0,0,0,0.0,0.0,453,4958.25,10.95,0,121,376,3684.6,9.8,0,0.0,0.0,0,,,6,38.18,6.36,1,15.99,15.99,369,3630.43,9.84,0,530,,,,,,,,,,,,,,,,,,,,,209,2287.14,10.94,0,0.0,0.0,0,,,3,19.09,6.36,4,57.77,14.44,202,2152.51,10.66,0,2,4,1103.82,€ 275.96,0,612.02,0.0,0,0.0,,0,0,0,0,0,0,4,491.8,122.95,0,10,0,0.0,0.0,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,112,0,612.02,,0,0.0,,66,321.82,4.876060606060606,7,122.12,17.445714285714285,2220,30266.18,13.633414414414414,,,,,,,,,,,,,,,,,,,,,0.0,0.0,31379.909999999996,0.0,0.0,0,0,0,0,0.0,0.0,0.0
FEC,0.85416666666666663,2024-03-13,23-24,1,1,2,Nymburk,45364.8541Nymburk,1646,1733,3379,22152.62,32,1324.54,41.391875,0,0.0,,0,0.0,,0,0,0,0,0.0,0.0,32,1324.54,41.39,50,78,,,,,,,,,,,,,,,,,,,,,10,442.62,€ 44.26,0,0.0,#DIV/0!,0,,,0,0,0,0,0.0,0.0,10,442.62,€ 44.26,0,66,1042,13268.32,12.73,0,0.0,0.0,0,,,24,120.0,5.0,0,0.0,0.0,1018,13148.32,12.92,0,599,298,3052.22,10.24,0,0.0,0.0,0,,,0,0,0,0,0.0,0.0,298,3052.22,10.24,0,176,202,2070.06,10.25,0,0.0,0.0,0,,,0,0.0,0.0,0,0.0,0.0,202,2070.06,10.25,0,663,,,,,,,,,,,,,,,,,,,,,147,1382.84,9.41,0,0.0,0.0,0,,,0,0.0,0.0,0,0.0,0.0,147,1382.84,9.41,0,0,2,612.02,€ 0.00,0,612.02,0.0,0,0.0,,0,0,0,0,0,0,2,245.9,122.95,0,14,0,0.0,0.0,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,612.02,,0,0.0,,24,120.0,5.0,0,0.0,,1709,21666.5,12.677881802223522,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22152.62,0.0,0.0,0,0,0,0,0.0,0.0,0.0
FEC,0.85416666666666663,2023-12-13,23-24,3,4,4,ZZ Leiden,45273.8541ZZ Leiden,1207,641,1848,6619.07,14,437.98,31.284285714285716,11,368.31,33.482727272727274,0,0.0,,0,0,0,0,0.0,0.0,3,69.67,23.22,56,2,,,,,,,,,,,,,,,,,,,,,2,90.17,€ 45.09,0,0.0,#DIV/0!,0,,,0,0,0,0,0.0,0.0,2,90.17,€ 45.09,2,17,357,3783.43,10.6,90,1242.8,13.81,0,,,13,36.37,2.8,0,0.0,0.0,254,2504.26,9.86,7,839,73,876.7,12.01,40,560.21,14.01,0,,,0,0,0,0,0.0,0.0,33,316.49,9.59,0,276,126,950.35,7.54,37,387.28,10.47,0,,,1,0.91,0.91,0,0.0,0.0,88,562.16,6.39,0,2,,,,,,,,,,,,,,,,,,,,,69,480.44,6.96,19,143.94,7.58,0,,,0,0.0,0.0,0,0.0,0.0,50,336.5,6.73,0,0,0,0.0,€ 0.00,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0.0,0.0,0,6,0,0.0,0.0,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0,197,2702.54,13.718477157360406,0,0.0,,14,37.279999999999994,2.6628571428571424,0,0.0,,430,3879.2500000000005,9.0215116279069782,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,6619.07
FEC,0.85416666666666663,2024-01-10,23-24,3,4,4,CSM Oradea,45301.8541CSM Oradea,1247,888,2135,10197.12,21,815.06,38.812380952380948,11,368.31,33.482727272727274,0,0.0,,0,0,0,0,0.0,0.0,10,446.75,44.68,56,17,,,,,,,,,,,,,,,,,,,,,2,98.36,€ 49.18,0,0.0,#DIV/0!,0,,,0,0,0,0,0.0,0.0,2,98.36,€ 49.18,2,22,581,6377.97,10.98,90,1242.8,13.81,0,,,23,61.83,2.69,5,94.27,18.85,463,4979.07,10.75,7,853,73,978.8,13.41,40,560.21,14.01,0,,,0,0,0,0,0.0,0.0,33,418.59,12.68,0,272,119,1178.34,9.9,37,387.28,10.47,0,,,4,7.28,1.82,0,0.0,0.0,78,783.78,10.05,0,9,,,,,,,,,,,,,,,,,,,,,92,748.59,8.14,19,143.94,7.58,0,,,3,10.01,3.34,0,0.0,0.0,70,594.64,8.49,0,0,0,0.0,€ 0.00,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0.0,0.0,0,9,0,0.0,0.0,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0,197,2702.54,13.718477157360406,0,0.0,,30,79.12,2.6373333333333333,5,94.27,18.854,656,7321.19,11.160350609756097,,,,,,,,,,,,,,,,,,,,,10197.12,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
FEC,0.85416666666666663,2024-01-24,23-24,1,2,3,Chemnitz,45315.8541Chemnitz,1624,1304,2928,15329.420000000002,26,987.18000000000006,37.96846153846154,11,368.31,33.482727272727274,0,0.0,,0,0,0,0,0.0,0.0,15,618.87,41.26,56,25,,,,,,,,,,,,,,,,,,,,,0,0.0,#DIV/0!,0,0.0,#DIV/0!,0,,,0,0,0,0,0.0,0.0,0,0.0,#DIV/0!,2,27,799,9134.28,11.43,90,1242.8,13.81,0,,,17,72.73,4.28,52,887.65,17.07,640,6931.1,10.83,7,747,123,1517.24,12.34,40,560.21,14.01,0,,,0,0,0,14,196.52,14.04,69,760.51,11.02,0,275,251,2574.79,10.26,37,387.28,10.47,0,,,4,10.92,2.73,81,994.46,12.28,129,1182.13,9.16,0,464,,,,,,,,,,,,,,,,,,,,,103,945.99,9.18,19,143.94,7.58,0,,,0,0.0,0.0,21,261.76,12.46,63,540.29,9.0,0,10,2,169.94,€ 84.97,0,0.0,0.0,0,,,0,0,0,0,0,0,2,169.94,84.97,0,11,0,0.0,0.0,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0,197,2702.54,13.718477157360406,0,0.0,,21,83.65,3.9833333333333334,168,2340.39,13.930892857142856,918,10202.840000000002,11.114204793028325,,,,,,,,,,,,,,,,,,,,,15329.420000000002,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
FEC,0.85416666666666663,2023-11-02,23-24,3,2,4,TSU Tbilisi,45232.8541TSU Tbilisi,1053,703,1756,8839.28,28,1197.19,42.756785714285719,14,515.04,36.788571428571423,0,0.0,,0,0,0,0,0.0,0.0,14,682.15,48.73,56,20,,,,,,,,,,,,,,,,,,,,,3,106.56,€ 35.52,2,73.77,€36.89,0,,,0,0,0,0,0.0,0.0,1,32.79,€ 32.79,2,11,398,4706.06,11.82,150,2001.84,13.35,0,,,19,82.73,4.35,15,207.07,13.8,214,2414.42,11.28,5,774,83,1148.03,13.83,65,904.11,13.91,0,,,0,0,0,0,0.0,0.0,18,243.92,13.55,0,181,92,961.6,10.45,49,496.08,10.12,0,,,1,4.55,4.55,2,23.63,11.82,40,437.34,10.93,0,0,,,,,,,,,,,,,,,,,,,,,99,719.84,7.27,26,180.91,6.96,0,,,0,0.0,0.0,1,10.61,10.61,72,528.32,7.34,0,0,0,0.0,€ 0.00,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0.0,0.0,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0,306,4171.75,13.633169934640524,0,0.0,,20,87.28,4.364,18,241.31,13.406111111111111,359,4338.94,12.08618384401114,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8839.28,0.0
FEC,0.85416666666666663,2023-11-10,23-24,4,2,4,Keravnos,45240.8541Keravnos,1404,708,2112,7907.33,19,687.18,36.167368421052629,14,515.04,36.788571428571423,0,0.0,,0,0,0,0,0.0,0.0,5,172.14,34.43,56,35,,,,,,,,,,,,,,,,,,,,,2,73.77,€ 36.89,2,73.77,€36.89,0,,,0,0,0,0,0.0,0.0,0,0.0,#DIV/0!,2,35,435,4452.65,10.24,150,2001.84,13.35,0,,,8,23.64,2.96,15,207.07,13.8,262,2220.1,8.47,5,897,112,1374.26,12.27,65,904.11,13.91,0,,,0,0,0,0,0.0,0.0,47,470.15,10.0,0,360,75,784.29,10.46,49,496.08,10.12,0,,,1,0.91,0.91,2,23.63,11.82,23,263.67,11.46,0,0,,,,,,,,,,,,,,,,,,,,,65,535.18,8.23,26,180.91,6.96,0,,,0,0.0,0.0,1,10.61,10.61,38,343.66,9.04,0,10,0,0.0,€ 0.00,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0.0,0.0,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0,306,4171.75,13.633169934640524,0,0.0,,9,24.55,2.7277777777777779,18,241.31,13.406111111111111,375,3469.72,9.2525866666666658,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7907.33,0.0
FEC,0.85416666666666663,2023-10-25,23-24,2,1,4,Gottingen,45224.8541Gottingen,897,698,1595,9350.57,26,1060.13,40.774230769230776,14,515.04,36.788571428571423,0,0.0,,0,0,0,0,0.0,0.0,12,545.09,45.42,56,37,,,,,,,,,,,,,,,,,,,,,7,336.08,€ 48.01,2,73.77,€36.89,0,,,0,0,0,0,0.0,0.0,5,262.31,€ 52.46,2,24,369,4975.52,13.48,150,2001.84,13.35,0,,,5,12.73,2.55,3,53.26,17.75,211,2907.69,13.78,5,635,74,1038.32,14.03,65,904.11,13.91,0,,,0,0,0,0,0.0,0.0,9,134.21,14.91,0,104,105,1084.38,10.33,49,496.08,10.12,0,,,9,26.39,2.93,0,0.0,0.0,47,561.91,11.96,0,2,,,,,,,,,,,,,,,,,,,,,117,856.14,7.32,26,180.91,6.96,0,,,0,0.0,0.0,0,0.0,0.0,91,675.23,7.42,0,21,0,0.0,#DIV/0!,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0.0,0.0,0,11,0,0.0,0.0,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0,306,4171.75,13.633169934640524,0,0.0,,14,39.120000000000005,2.7942857142857145,3,53.26,17.753333333333334,375,5086.4400000000005,13.56384,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9350.57,0.0,0.0
LBA,0.6875,2024-04-07,23-24,9,14,2,Napoli,45389.6875Napoli,664,3458,4122,93493.800000000017,284,29727.72,104.67507042253521,78,5834.16,74.796923076923079,194,14938.0,77.0,0,0,0,0,0.0,0.0,12,1409.79,117.48,70,72,,,,,,,,,,,,,,,,,,,,,80,4118.21,€ 37.44,29,1109.29,€38.25,48,,,0,0,0,0,0.0,0.0,3,286.88,€ 95.63,30,68,1347,28621.48,20.53,707,14569.44,20.61,154,3696.0,24.0,36,290.16,8.06,102,2621.25,25.7,348,6854.04,19.7,47,210,594,9994.08,16.2,489,7614.87,15.57,2,40.0,20.0,0,0,0,35,722.95,20.66,68,1618.0,23.79,23,10,732,8863.02,11.99,375,4283.51,11.42,34,476.0,14.0,51,308.17,6.04,45,702.1,15.6,227,2976.79,13.11,7,66,,,,,,,,,,,,,,,,,,,,,387,4180.27,9.5,247,2328.22,9.43,2,28,14,5,20.91,4.18,44,667.65,15.17,89,1139.49,12.8,53,8,34,7989.02,€ 234.97,4,612.02,153.01,26,4264.0,164.0,0,0,0,0,0,0,4,983.6,245.9,0,0,0,0.0,0.0,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,49,1929,36351.509999999995,18.844743390357696,460,36540.520000000004,79.435913043478266,92,619.24,6.7308695652173913,226,4713.95,20.858185840707964,751,15268.59,20.331011984021305,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,93493.800000000017,0.0,0,0,0,0,0.0,0.0,0.0
LBA,0.72916666666666663,2023-12-17,23-24,8,14,1,Milano,45277.7291Milano,557,4061,4618,109452.51,290,30675.3,105.77689655172414,78,5834.16,74.796923076923079,198,15246.0,77.0,0,0,0,0,0.0,0.0,14,1701.63,121.55,70,60,,,,,,,,,,,,,,,,,,,,,82,4175.61,€ 37.28,29,1109.29,€38.25,45,,,0,0,0,0,0.0,0.0,8,590.18,€ 73.77,30,61,1608,37178.94,22.46,707,14569.44,20.61,179,,,50,408.38,8.17,45,1093.52,24.3,627,16021.83,25.55,47,141,676,11759.11,16.82,489,7614.87,15.57,12,,,0,0,0,17,341.41,20.08,158,3494.08,22.11,23,3,960,12577.22,13.01,375,4283.51,11.42,34,,,80,440.9,5.51,14,228.37,16.31,457,7031.99,15.39,7,60,,,,,,,,,,,,,,,,,,,,,393,4365.29,9.79,247,2328.22,9.43,2,,,14,78.18,5.58,14,201.15,14.37,116,1733.74,14.95,53,2,38,8579.18,€ 225.77,4,612.02,153.01,26,,,0,0,0,0,0,0,8,1573.76,196.72,0,0,0,0.0,0.0,0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,14,141.86,10.13,,112,1929,36351.509999999995,18.844743390357696,496,38020.03,76.653286290322583,144,927.45999999999992,6.4406944444444436,90,1864.45,20.716111111111111,1388,32147.210000000003,23.160814121037465,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,109452.51
